,player_name,shot_outcome_name,gk_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
26,Paul Pogba,Saved,Joe Hart,135.6875,133.7607422,105.3125,115.5673828,74.9375,46.74902344,57.21875,51.53466797,105.3125,110.5048828,138.21875,133.800293,64.8125,46.59082031,49.625,69.13476563,49.625,69.13476563,54.6875,97.05761719,39.5,41.1328125,31.90625,61.26416016,85.0625,100.0634766,39.5,56.3203125,39.5,56.3203125,26.84375,83.96630859
27,Gylfi Þór Sigurðsson,Saved,Kepa Arrizabalaga Revuelta,58.625,167.6660156,113.1875,132.1435547,98.03125,86.43798828,76.8125,92.16894531,52.5625,119.0712891,161.6875,166.2451172,85.90625,89.27978516,70.75,55.69921875,70.75,43.57421875,67.71875,19.27685547,128.34375,26.28662109,55.59375,73.64990234,70.75,43.57421875,58.625,43.38476563,46.5,73.5078125,37.40625,55.17822266
28,Paul Pogba,Goal,David Button,45.375,344.0527344,118.875,253.3261719,192.375,199.3496094,253.625,212.5566406,302.625,237.8222656,229.125,340.7988281,223,205.953125,216.875,95.60742188,216.875,95.60742188,204.625,21.91601563,76,197.53125,118.875,155.3261719,161.75,100.8710938,272,96.46875,296.5,164.2265625,314.875,225.7636719
29,James Philip Milner,Goal,Wayne Hennessey,113.75,326.7304688,46.375,252.1777344,83.125,191.5019531,138.25,186.2382813,205.625,273.0410156,285.25,353.9101563,107.625,185.7597656,107.625,93.88476563,107.625,81.63476563,113.75,8.23046875,119.875,320.7011719,58.625,172.7441406,58.625,93.11914063,162.75,94.74609375,199.5,138.1953125,236.25,181.6445313
30,Jamie Vardy,Goal,Petr Čech,440.75,516.1210938,394.5,385.8984375,302,273.453125,218.75,272.1523438,403.75,386.0429688,89.25,464.3789063,255.75,272.7304688,265,124.875,274.25,97.26953125,302,14.453125,302,264.203125,348.25,227.9257813,339,135.28125,200.25,114.6132813,135.5,150.6015625,228,207.546875
31,Luka Milivojević,Goal,Loris Karius,36,133.359375,41,110.9375,66,78.828125,88.5,84.1796875,63.5,108.7890625,38.5,138.3984375,78.5,79.0234375,56,33.671875,56,36.171875,41,15.9375,26,80.703125,36,58.359375,51,41.09375,53.5,21.1328125,53.5,13.6328125,91,101.71875
32,Wayne Mark Rooney,Saved,Mathew Ryan,67.71875,99.69873047,53.9375,73.88964844,30.3125,55.80175781,44.09375,52.07958984,57.875,64.10742188,73.625,95.85351563,36.21875,53.92529297,53.9375,38.45214844,51.96875,38.42138672,63.78125,18.91845703,24.40625,81.30322266,24.40625,55.70947266,46.0625,38.32910156,61.8125,38.57519531,67.71875,54.41748047,75.59375,70.29052734
33,Mohamed Salah,Goal,Bernd Leno,67.4375,141.9755859,67.4375,111.3505859,88.875,96.37304688,113.375,99.81835938,119.5,121.3515625,88.875,154.5605469,101.125,99.62695313,101.125,47.56445313,101.125,47.56445313,88.875,25.93554688,27.625,73.97851563,49.0625,55.93847656,85.8125,47.32519531,119.5,47.8515625,131.75,63.35546875,137.875,72.63867188
34,Roberto Firmino Barbosa de Oliveira,Goal,Bernd Leno,112.75,497.1679688,718.78125,295.230957,535.5625,320.5556641,451,262.859375,310.0625,415.6884766,126.84375,483.2944336,493.28125,305.8012695,634.21875,152.972168,648.3125,153.1923828,690.59375,41.10302734,817.4375,395.4287109,732.875,281.3574219,718.78125,168.387207,549.65625,137.5571289,451,192.390625,366.4375,275.6318359
35,Luka Milivojević,Goal,Mathew Ryan,85.375,123.4746094,65.875,89.04492188,26.875,76.24804688,51.25,76.62890625,73.1875,94.03417969,80.5,123.3984375,36.625,76.40039063,63.4375,42.69433594,63.4375,42.69433594,75.625,16.07226563,29.3125,76.28613281,34.1875,61.73730469,48.8125,37.59082031,78.0625,47.79785156,85.375,69.84960938,92.6875,84.58886719
