,under_pressure,shot_outcome_name,distance_to_goal,shot_angle,gk_name,gk_engage
450,1,Saved,15,36.86989765,Sergio Rico González,0.596284794
451,0,Saved,12.80624847,38.65980825,Sergio Rico González,0.331294578
452,0,Wayward,20.51828453,43.02506599,Ben Foster,0.724527858
453,0,Saved,10,36.86989765,Ben Foster,0.223606798
454,0,Saved,12.80624847,51.34019175,Tom Heaton,0.390434405
455,0,Saved,8.246211251,14.03624347,Ben Foster,0.121267813
456,0,Wayward,11.66190379,59.03624347,David de Gea Quintana,0.383482494
457,0,Goal,20,53.13010235,Hugo Lloris,0.820060973
458,0,Saved,14.4222051,56.30993247,David de Gea Quintana,0.80860754
459,0,Saved,10.63014581,48.81407483,David de Gea Quintana,0.532152084
460,0,Saved,8.544003745,69.44395478,David de Gea Quintana,0.74023321
461,0,Post,14.31782106,12.09475708,Ederson Santana de Moraes,0.209529089
462,0,Saved,17.69180601,47.29061004,Ederson Santana de Moraes,0.600851366
463,0,Goal,9.433981132,32.00538321,Julián Speroni,0.474045463
464,1,Saved,12.20655562,55.0079798,Łukasz Fabiański,0.695141336
465,0,Blocked,15.65247584,63.43494882,Bernd Leno,0.830539534
466,0,Saved,11.70469991,70.01689348,Bernd Leno,0.81051484
467,0,Off T,10.77032961,68.19859051,Jordan Pickford,0.669534063
468,1,Post,13.45362405,41.9872125,Jordan Pickford,0.685283343
469,0,Saved,15.03329638,3.814074834,Jordan Pickford,0.864747137
470,0,Off T,3.605551275,56.30993247,Ben Foster,0.554700196
471,0,Off T,18.38477631,45,Hugo Lloris,0.81589244
472,0,Off T,11.18033989,79.69515353,Hugo Lloris,0.632455532
473,1,Saved,11.82708755,71.25865955,Asmir Begović,0.763075891
474,0,Goal,11.18033989,63.43494882,Jonas Lössl,0.64498062
475,1,Off T,9.899494937,45,Jonas Lössl,0.788954358
476,0,Saved,12.04159458,4.763641691,Tom Heaton,0.332181919
477,0,Goal,5,36.86989765,Sergio Rico González,0.4
478,1,Off T,16.40121947,52.43140797,Vicente Guaita Panadero,0.866561809
479,0,Off T,11.40175425,52.12501635,Ben Foster,0.902986498
480,0,Off T,14.86606875,47.72631099,Ben Foster,0.727606875
481,1,Saved,14.2126704,39.28940686,Łukasz Fabiański,0.605257494
482,0,Goal,4.242640687,45,Hugo Lloris,0.666666667
483,0,Goal,9.433981132,57.99461679,Kasper Schmeichel,0.711068195
484,0,Goal,17.02938637,40.23635831,Kasper Schmeichel,0.707106781
485,0,Off T,8.062257748,60.2551187,David de Gea Quintana,0.894427191
486,0,Goal,14.86606875,70.34617594,Sergio Rico González,0.724490771
487,0,Saved,11.40175425,15.2551187,Sergio Rico González,0.667947488
488,0,Off T,4.123105626,14.03624347,Kasper Schmeichel,0.727606875
489,0,Saved,8.602325267,35.53767779,Kasper Schmeichel,0.419136822
490,0,Goal,10.29563014,60.9453959,Mathew Ryan,0.412081692
491,0,Off T,8.246211251,75.96375653,Angus Gunn,0.5
492,0,Saved,11.3137085,45,Łukasz Fabiański,0.75
493,0,Saved,11.78855377,10.26137472,Angus Gunn,0.620637614
494,0,Post,9.433981132,57.99461679,Rui Pedro dos Santos Patrício,0.149906338
495,1,Off T,16.85823241,41.63353934,Hugo Lloris,0.837416691
496,0,Saved,8.246211251,75.96375653,Sergio Rico González,0.653047156
497,0,Saved,14.31782106,24.77514057,Sergio Rico González,0.563092506
498,0,Off T,13.51184665,61.72796392,Bernd Leno,0.771187907
499,0,Saved,5.099019514,11.30993247,Sergio Rico González,0.39223227
500,1,Post,14.86606875,42.27368901,Sergio Rico González,0.665912092
501,1,Off T,19.41648784,11.88865804,Bernd Leno,0.687130658
502,1,Goal,17.20465053,54.46232221,Neil Leonard Dula Etheridge,0.781976014
503,0,Goal,14.56021978,15.9453959,Mathew Ryan,0.350202098
504,1,Goal,21.9544984,59.93141718,Tom Heaton,0.619530005
505,1,Goal,14.86606875,19.65382406,Martin Dúbravka,0.42543563
506,1,Off T,20.1246118,26.56505118,Kepa Arrizabalaga Revuelta,0.518783001
507,0,Blocked,12.80624847,38.65980825,Kasper Schmeichel,0.883452209
508,0,Goal,13.34166406,77.00538321,Kasper Schmeichel,0.382187671
509,0,Saved,13.97139936,66.37062227,Ben Foster,0.793835109
510,0,Off T,13.35440002,39.53090503,Kepa Arrizabalaga Revuelta,0.733878735
511,0,Off T,6.053924347,67.67134362,Asmir Begović,0.689820745
512,0,Off T,9.167878708,13.88466769,Kepa Arrizabalaga Revuelta,0.872611894
513,0,Saved,19.41236719,27.62107498,Kasper Schmeichel,0.562158977
514,0,Saved,7.810249676,39.80557109,Sergio Rico González,0.80977633
515,0,Saved,12.08304597,24.44395478,Alex McCarthy,0.925291513
516,0,Goal,6.403124237,38.65980825,Alex McCarthy,1.104315261
517,0,Goal,17.02938637,40.23635831,Sergio Rico González,0.598849472
518,0,Saved,13,67.38013505,Sergio Rico González,0.516015687
519,0,Off T,17.72004515,16.38954033,Alisson Ramsés Becker,0.630943081
520,0,Off T,18.86796226,57.99461679,Alisson Ramsés Becker,0.736298059
521,0,Goal,18.38477631,45,Sergio Rico González,0.348284044
522,0,Goal,8.602325267,35.53767779,Sergio Rico González,0.838273644
523,0,Saved,9.219544457,40.60129465,David de Gea Quintana,0.847140519
524,0,Saved,3.605551275,33.69006753,David de Gea Quintana,0.877058019
525,0,Goal,5.830951895,30.96375653,David de Gea Quintana,0.857492926
526,0,Post,6.555150647,21.47679098,Fabricio Martín Agosto Ramírez,0.647222454
527,0,Saved,15,36.86989765,Kasper Schmeichel,0.666666667
528,0,Saved,12.73930924,4.502189492,Łukasz Fabiański,0.771831396
529,0,Off T,14.5,53.13010235,Asmir Begović,0.742172791
530,0,Saved,5.656854249,45,Alisson Ramsés Becker,0.353553391
