,goalkeepers,url,pen_taker,outcome,off_target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
23,Tim Krul,/en/matches/a31a1d67/Norwich-City-Manchester-United-October-27-2019-Premier-League,Anthony Martial,Missed,,221.9375,425.2802734375,131.5625,310.8994140625,154.15625,273.59619140625,221.9375,267.1240234375,289.71875,328.43310546875,387.625,435.400390625,184.28125,274.06689453125,184.28125,130.97314453125,184.28125,115.91064453125,184.28125,40.59814453125,63.78125,309.84033203125,93.90625,212.40478515625,124.03125,137.56298828125,244.53125,131.91455078125,282.1875,207.8154296875,349.96875,269.12451171875
24,Tim Krul,/en/matches/a31a1d67/Norwich-City-Manchester-United-October-27-2019-Premier-League,Marcus Rashford,Missed,,44.5,164.8828125,87.15625,142.58056640625,119.96875,116.84326171875,110.125,113.408203125,77.3125,139.1455078125,51.0625,171.5478515625,116.6875,113.5107421875,100.28125,50.91064453125,100.28125,50.91064453125,70.75,34.04296875,106.84375,90.38818359375,116.6875,83.9794921875,110.125,54.345703125,93.71875,47.52685546875,133.09375,84.23583984375,129.8125,103.8720703125
25,Paulo Gazzaniga,/en/matches/16f28685/Liverpool-Tottenham-Hotspur-October-27-2019-Premier-League,Mohamed Salah,Scored,,83.875,158.935546875,70.75,125.91796875,97.0,100.078125,110.125,103.564453125,106.84375,139.60693359375,139.65625,172.93212890625,103.5625,103.4619140625,97.0,54.140625,90.4375,47.4755859375,74.03125,20.96923828125,83.875,90.029296875,100.28125,80.44189453125,90.4375,54.0380859375,103.5625,54.2431640625,119.96875,77.46826171875,106.84375,93.66943359375
26,Kepa Arrizabalaga,/en/matches/0b8b7f66/Watford-Chelsea-November-2-2019-Premier-League,Gerard Deulofeu,Scored,,28.4375,331.0068359375,108.0625,252.6259765625,187.6875,185.6201171875,255.9375,198.0615234375,91.0,258.046875,39.8125,325.4970703125,221.8125,191.8408203125,227.5,89.5546875,227.5,72.4921875,204.75,9.57421875,96.6875,161.4482421875,130.8125,116.4814453125,182.0,83.15625,273.0,101.640625,301.4375,158.9599609375,312.8125,221.7001953125
27,Bernd Leno,/en/matches/19a8b14e/Arsenal-Southampton-November-23-2019-Premier-League,James Ward-Prowse,Missed,,50.34375,285.66162109375,106.28125,241.78564453125,173.40625,170.11572265625,223.75,187.68359375,240.53125,227.10205078125,190.1875,304.6279296875,201.375,176.146484375,229.34375,98.27099609375,234.9375,92.7646484375,240.53125,31.32080078125,117.46875,163.64794921875,139.84375,113.65380859375,184.59375,80.79052734375,279.6875,115.8388671875,296.46875,160.85107421875,324.4375,200.4443359375
28,Ben Foster,/en/matches/d4aea4c0/Watford-Burnley-November-23-2019-Premier-League,Ashley Barnes,Scored,,133.4375,150.7099609375,109.1875,123.0498046875,94.03125,98.56298828125,81.90625,98.37353515625,45.53125,106.89892578125,69.78125,134.55908203125,84.9375,98.4208984375,63.71875,116.27685546875,63.71875,116.27685546875,66.75,1.13671875,94.03125,62.18798828125,115.25,44.33203125,97.0625,37.9853515625,84.9375,52.9521484375,103.125,50.205078125,106.15625,50.25244140625
29,Mathew Ryan,/en/matches/d0f6bac9/Brighton-and-Hove-Albion-Leicester-City-November-23-2019-Premier-League,Jamie Vardy,Scored,,81.90625,149.90478515625,78.875,116.513671875,115.25,89.80078125,127.375,96.052734375,94.03125,113.71923828125,81.90625,155.96728515625,124.34375,92.97412109375,91.0,59.109375,87.96875,56.03076171875,69.78125,31.49658203125,63.71875,95.05810546875,72.8125,73.9814453125,78.875,58.919921875,100.09375,59.25146484375,118.28125,89.84814453125,118.28125,120.16064453125
30,Tim Krul,/en/matches/39fce32e/Norwich-City-Arsenal-December-1-2019-Premier-League,Pierre-Emerick Aubameyang,Scored,,48.5625,146.3525390625,87.96875,134.84326171875,94.03125,98.56298828125,84.9375,98.4208984375,84.9375,128.7333984375,112.21875,135.22216796875,91.0,98.515625,106.15625,53.28369140625,109.1875,50.2998046875,118.28125,23.16064453125,103.125,83.548828125,121.3125,77.7705078125,118.28125,56.50439453125,91.0,53.046875,72.8125,70.9501953125,60.6875,95.0107421875
31,Paulo Gazzaniga,/en/matches/614c7c1f/Manchester-United-Tottenham-Hotspur-December-4-2019-Premier-League,Marcus Rashford,Scored,,201.375,371.068359375,99.1875,253.6591796875,140.0625,220.2353515625,201.375,207.568359375,310.375,304.646484375,351.25,387.03515625,167.3125,213.8486328125,153.6875,104.6357421875,153.6875,104.6357421875,140.0625,22.6728515625,31.0625,259.4072265625,58.3125,184.8955078125,92.375,110.490234375,215.0,98.78125,283.125,154.345703125,344.4375,223.4287109375
32,Ben Foster,/en/matches/8b04b0d5/Leicester-City-Watford-December-4-2019-Premier-League,Jamie Vardy,Scored,,38.15625,268.72119140625,62.0625,202.1572265625,100.3125,145.3798828125,148.125,146.126953125,186.375,194.537109375,210.28125,257.06689453125,124.21875,150.53466796875,129.0,69.328125,129.0,64.546875,129.0,16.734375,23.8125,129.8408203125,47.71875,96.74560546875,85.96875,63.87451171875,167.25,74.70703125,191.15625,98.98681640625,200.71875,142.16748046875
