,duration,play_pattern_name,under_pressure,shot_outcome_name,shot_first_time,distance_to_goal,shot_angle,gk_name,gk_engage,assist_type,player_name
507,0.1174,From Counter,0,Blocked,0,12.806248474865697,38.659808254090095,Kasper Schmeichel,0.8834522085987724,Pass,Stuart Armstrong
508,1.1106,From Keeper,0,Goal,0,13.341664064126334,77.0053832080835,Kasper Schmeichel,0.38218767082460553,Other,Shane Long
509,0.4253,Regular Play,0,Saved,0,13.97139935725838,66.3706222693432,Ben Foster,0.7938351090294944,Other,Alexis Alejandro Sánchez Sánchez
510,0.762683,Regular Play,0,Off T,1,13.354400023962137,39.530905029888075,Kepa Arrizabalaga Revuelta,0.733878734590546,Pass,Michail Antonio
511,0.4178,Regular Play,0,Off T,1,6.053924347066125,67.67134362198088,Asmir Begović,0.6898207450491298,Cross,Nathaniel Mendez-Laing
512,1.221,From Keeper,0,Off T,0,9.167878707749145,13.88466768525818,Kepa Arrizabalaga Revuelta,0.8726118936584538,Cross,Callum Wilson
513,1.012384,From Counter,0,Saved,0,19.412367192076296,27.621074983075527,Kasper Schmeichel,0.5621589768123423,Pass,Joshua King
514,0.3707,From Corner,0,Saved,1,7.810249675906654,39.8055710922652,Sergio Rico González,0.8097763301789161,Other,Manolo Gabbiadini
515,0.5748,Regular Play,0,Saved,0,12.083045973594572,24.443954780416536,Alex McCarthy,0.9252915127470066,Pass,Aleksandar Mitrović
516,1.010335,From Free Kick,0,Goal,1,6.4031242374328485,38.659808254090095,Alex McCarthy,1.1043152607484654,Other,Aleksandar Mitrović
517,0.813374,From Free Kick,0,Goal,1,17.029386365926403,40.236358309273825,Sergio Rico González,0.5988494716163419,Pass,Callum Wilson
518,0.2735,Regular Play,0,Saved,0,13.0,67.38013505195957,Sergio Rico González,0.5160156871153361,Pass,Mohamed Salah
519,0.917295,From Goal Kick,0,Off T,0,17.72004514666935,16.389540334034784,Alisson Ramsés Becker,0.630943081406336,Pass,Kouassi Ryan Sessegnon
520,1.097151,From Throw In,0,Off T,0,18.867962264113206,57.9946167919165,Alisson Ramsés Becker,0.7362980588461946,Pass,Kouassi Ryan Sessegnon
521,0.788775,From Free Kick,0,Goal,0,18.384776310850235,45.0,Sergio Rico González,0.34828404377451605,Pass,Mohamed Salah
522,0.778941,From Free Kick,0,Goal,0,8.602325267042627,35.53767779197438,Sergio Rico González,0.8382736442849092,Cross,Xherdan Shaqiri
523,0.4231,From Counter,0,Saved,0,9.219544457292887,40.60129464500447,David de Gea Quintana,0.8471405189362208,Pass,Ryan Fraser
524,0.1675,From Goal Kick,0,Saved,1,3.605551275463989,33.690067525979785,David de Gea Quintana,0.8770580193070293,Cross,Callum Wilson
525,0.9571,From Corner,0,Goal,1,5.830951894845301,30.96375653207352,David de Gea Quintana,0.8574929257125441,Cross,Callum Wilson
526,0.586,Regular Play,0,Post,1,6.555150646628949,21.47679097954039,Fabricio Martín Agosto Ramírez,0.647222453888393,Cross,Harry Kane
527,0.637494,Regular Play,0,Saved,0,15.0,36.86989764584402,Kasper Schmeichel,0.6666666666666666,Pass,Beram Kayal
528,0.938,Regular Play,0,Saved,1,12.739309243440166,4.502189492040974,Łukasz Fabiański,0.7718313964070357,Pass,Callum Wilson
529,0.79,From Throw In,0,Off T,1,14.500000000000004,53.13010235415597,Asmir Begović,0.742172791095877,Pass,Marko Arnautović
530,0.0553,From Throw In,0,Saved,0,5.656854249492381,45.0,Alisson Ramsés Becker,0.35355339059327373,Cross,Alexandre Lacazette
531,0.305611,From Throw In,0,Saved,0,7.0,0.0,Bernd Leno,0.42857142857142855,Pass,Virgil van Dijk
