,goalkeepers,url,pen_taker,outcome,off_target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
20,Angus Gunn,/en/matches/3e9712d7/Southampton-Leicester-City-October-25-2019-Premier-League,Jamie Vardy,Scored,,-0.0625,0.25,0.056275424,-0.078125,0.125,-0.015096631,-0.0625,0.0,0.04253386,0.015625,0.015625,-0.021811496,-0.109375,0.171875,-0.03173371,-0.265625,0.296875,0.04076807,0.0,0.0,0.0,-0.109375,-0.125,-0.029477792,-0.125,-0.125,-0.06362513,-0.203125,-0.265625,-0.072584584,-0.0625,0.21875,-0.05857255,-0.21875,-0.0625,0.078221425,-0.171875,-0.125,-0.0020022523,-0.046875,-0.125,-0.09524715,0.109375,-0.109375,-0.1176244,-0.265625,0.28125,0.0063096154
21,Jordan Pickford,/en/matches/f728ceea/Brighton-and-Hove-Albion-Everton-October-26-2019-Premier-League,Neal Maupay,Scored,,0.234375,0.296875,-0.028858582,0.140625,0.140625,0.030844202,-0.046875,0.03125,-0.060840767,0.046875,-0.015625,0.02464314,0.140625,0.109375,0.149097,0.21875,0.296875,0.016547313,0.0,0.0,0.0,-0.015625,-0.21875,-0.0331801,-0.015625,-0.21875,-0.088167705,0.0,-0.375,-0.06069525,-0.0625,0.140625,-0.19151422,-0.109375,-0.015625,-0.15767615,-0.09375,-0.1875,-0.115036376,0.046875,-0.265625,-0.061464656,0.125,-0.15625,0.028226232,0.203125,-0.03125,0.010601997
22,Bernd Leno,/en/matches/077b30ff/Arsenal-Crystal-Palace-October-27-2019-Premier-League,Luka Milivojević,Scored,,0.0625,0.3125,-0.08572313,-0.09375,0.140625,-0.0023215604,-0.09375,0.03125,-0.015953084,0.078125,-0.015625,-0.015426604,0.296875,0.21875,0.12958902,0.40625,0.359375,0.023882184,0.0,0.0,0.0,-0.03125,-0.28125,-0.043957382,-0.03125,-0.28125,-0.10892207,-0.03125,-0.484375,-0.1292039,-0.28125,0.015625,-0.16336007,-0.25,-0.09375,-0.07966414,-0.171875,-0.25,-0.1101969,0.09375,-0.296875,-0.058761332,0.21875,-0.1875,-0.044494435,0.296875,-0.0625,-0.050566774
23,Tim Krul,/en/matches/a31a1d67/Norwich-City-Manchester-United-October-27-2019-Premier-League,Anthony Martial,Missed,,0.078125,0.3125,-0.170526,-0.109375,0.078125,-0.12065436,-0.0625,0.0,-0.02229283,0.078125,-0.015625,0.015341779,0.21875,0.109375,0.19995527,0.421875,0.328125,0.016424974,0.0,0.0,0.0,0.0,-0.296875,-0.02027337,0.0,-0.328125,-0.088672094,0.0,-0.484375,-0.026466228,-0.25,0.078125,-0.052349437,-0.1875,-0.125,-0.024566248,-0.125,-0.28125,-0.069373816,0.125,-0.296875,-0.04077872,0.203125,-0.140625,0.022493426,0.34375,-0.015625,0.045106452
24,Tim Krul,/en/matches/a31a1d67/Norwich-City-Manchester-United-October-27-2019-Premier-League,Marcus Rashford,Missed,,-0.34375,0.25,-0.016110174,-0.140625,0.140625,0.17575887,0.015625,0.015625,0.041429866,-0.03125,0.0,-0.030452978,-0.1875,0.125,0.1784956,-0.3125,0.28125,-0.037576683,0.0,0.0,0.0,-0.078125,-0.296875,-0.0033494649,-0.078125,-0.296875,0.0005936101,-0.21875,-0.375,-0.0554192,-0.046875,-0.109375,0.18070292,0.0,-0.140625,0.10960925,-0.03125,-0.28125,0.033672232,-0.109375,-0.3125,-0.01921552,0.078125,-0.140625,-0.042236466,0.0625,-0.046875,-0.047129743
25,Paulo Gazzaniga,/en/matches/16f28685/Liverpool-Tottenham-Hotspur-October-27-2019-Premier-League,Mohamed Salah,Scored,,-0.09375,0.265625,0.0016406508,-0.15625,0.109375,0.21042494,-0.03125,-0.015625,0.040693514,0.03125,0.0,-0.047614586,0.015625,0.171875,0.00802411,0.171875,0.328125,-0.05248422,0.0,0.0,0.0,-0.03125,-0.234375,-0.018772963,-0.0625,-0.265625,-0.056070346,-0.140625,-0.390625,-0.06556635,-0.09375,-0.0625,0.10749352,-0.015625,-0.109375,0.1371886,-0.0625,-0.234375,-0.009680833,0.0,-0.234375,-0.078512475,0.078125,-0.125,-0.124002896,0.015625,-0.046875,-0.10329404
26,Kepa Arrizabalaga,/en/matches/0b8b7f66/Watford-Chelsea-November-2-2019-Premier-League,Gerard Deulofeu,Scored,,-0.53125,0.390625,-0.014250737,-0.3125,0.171875,0.23037297,-0.09375,-0.015625,0.0022508125,0.09375,0.015625,-0.0053948555,-0.359375,0.1875,0.2516829,-0.5,0.375,-0.07004549,0.0,0.0,0.0,0.015625,-0.28125,-0.016481165,0.015625,-0.328125,-0.038834978,-0.046875,-0.5,-0.09283592,-0.34375,-0.078125,0.042773534,-0.25,-0.203125,-0.028981136,-0.109375,-0.296875,-0.009211311,0.140625,-0.25,-0.06441821,0.21875,-0.09375,0.0031795667,0.25,0.078125,-0.09381507
27,Bernd Leno,/en/matches/19a8b14e/Arsenal-Southampton-November-23-2019-Premier-League,James Ward-Prowse,Missed,,-0.421875,0.3125,0.006930914,-0.265625,0.1875,0.19551922,-0.078125,-0.015625,0.0016294986,0.0625,0.03125,0.010622627,0.109375,0.140625,0.14856648,-0.03125,0.359375,-0.09084404,0.0,0.0,0.0,0.078125,-0.21875,-0.015903236,0.09375,-0.234375,-0.06386052,0.109375,-0.40625,-0.02834134,-0.234375,-0.03125,-0.026872199,-0.171875,-0.171875,-0.020578118,-0.046875,-0.265625,-0.033187136,0.21875,-0.171875,-0.040183436,0.265625,-0.046875,0.006217542,0.34375,0.0625,0.0075587034
28,Ben Foster,/en/matches/d4aea4c0/Watford-Burnley-November-23-2019-Premier-League,Ashley Barnes,Scored,,0.25,0.265625,0.04576707,0.125,0.125,0.07116313,0.046875,0.0,0.007874479,-0.015625,0.0,-0.016168427,-0.203125,0.046875,0.02816412,-0.078125,0.1875,-0.046107695,0.0,0.0,0.0,-0.109375,0.09375,-0.021357553,-0.109375,0.09375,-0.11283,-0.09375,-0.5,-0.07266113,0.046875,-0.1875,0.02982857,0.15625,-0.28125,0.052775607,0.0625,-0.3125,-0.07834032,0.0,-0.234375,-0.045825407,0.09375,-0.25,-0.061589476,0.109375,-0.25,-0.094542846
29,Mathew Ryan,/en/matches/d0f6bac9/Brighton-and-Hove-Albion-Leicester-City-November-23-2019-Premier-League,Jamie Vardy,Scored,,-0.21875,0.296875,0.012448803,-0.234375,0.125,0.15950698,-0.046875,-0.015625,0.049149517,0.015625,0.015625,-0.048479017,-0.15625,0.109375,0.07837649,-0.21875,0.328125,-0.04528541,0.0,0.0,0.0,-0.171875,-0.171875,-0.033016015,-0.1875,-0.1875,-0.06312627,-0.28125,-0.3125,-0.07727596,-0.3125,0.015625,0.045535993,-0.265625,-0.09375,0.076292805,-0.234375,-0.171875,-0.005321018,-0.125,-0.171875,-0.12238988,-0.03125,-0.015625,-0.16823393,-0.03125,0.140625,-0.15662186
