,match_id,minute,team_id,team_name,player_id,player_name,shot_body_part_name,shot_technique_name,shot_outcome_name,date,home_team,away_team,season,competition,gk_id,gk_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
29,14295,44,24,Liverpool,3473,James Philip Milner,Right Foot,Normal,Goal,20/08/2018,Crystal Palace,Liverpool,2018/2019,Premier League,3488,Wayne Hennessey,113.75,326.73046875,46.375,252.177734375,83.125,191.501953125,138.25,186.23828125,205.625,273.041015625,285.25,353.91015625,107.625,185.759765625,107.625,93.884765625,107.625,81.634765625,113.75,8.23046875,119.875,320.701171875,58.625,172.744140625,58.625,93.119140625,162.75,94.74609375,199.5,138.1953125,236.25,181.64453125
30,2202,75,22,Leicester City,10960,Jamie Vardy,Right Foot,Normal,Goal,09/05/2018,Leicester City,Arsenal,2017/2018,Premier League,3461,Petr Čech,440.75,516.12109375,394.5,385.8984375,302.0,273.453125,218.75,272.15234375,403.75,386.04296875,89.25,464.37890625,255.75,272.73046875,265.0,124.875,274.25,97.26953125,302.0,14.453125,302.0,264.203125,348.25,227.92578125,339.0,135.28125,200.25,114.61328125,135.5,150.6015625,228.0,207.546875
31,2310,12,31,Crystal Palace,3455,Luka Milivojević,Right Foot,Normal,Goal,31/03/2018,Crystal Palace,Liverpool,2017/2018,Premier League,3630,Loris Karius,36.0,133.359375,41.0,110.9375,66.0,78.828125,88.5,84.1796875,63.5,108.7890625,38.5,138.3984375,78.5,79.0234375,56.0,33.671875,56.0,36.171875,41.0,15.9375,26.0,80.703125,36.0,58.359375,51.0,41.09375,53.5,21.1328125,53.5,13.6328125,91.0,101.71875
32,2255,87,29,Everton,3538,Wayne Mark Rooney,Right Foot,Normal,Saved,10/03/2018,Everton,Brighton & Hove Albion,2017/2018,Premier League,3240,Mathew Ryan,67.71875,99.69873046875,53.9375,73.8896484375,30.3125,55.8017578125,44.09375,52.07958984375,57.875,64.107421875,73.625,95.853515625,36.21875,53.92529296875,53.9375,38.4521484375,51.96875,38.42138671875,63.78125,18.91845703125,24.40625,81.30322265625,24.40625,55.70947265625,46.0625,38.3291015625,61.8125,38.5751953125,67.71875,54.41748046875,75.59375,70.29052734375
33,14466,46,24,Liverpool,3531,Mohamed Salah,Left Foot,Normal,Goal,29/12/2018,Liverpool,Arsenal,2018/2019,Premier League,15581,Bernd Leno,67.4375,141.9755859375,67.4375,111.3505859375,88.875,96.373046875,113.375,99.818359375,119.5,121.3515625,88.875,154.560546875,101.125,99.626953125,101.125,47.564453125,101.125,47.564453125,88.875,25.935546875,27.625,73.978515625,49.0625,55.9384765625,85.8125,47.3251953125,119.5,47.8515625,131.75,63.35546875,137.875,72.638671875
34,14466,64,24,Liverpool,3535,Roberto Firmino Barbosa de Oliveira,Right Foot,Normal,Goal,29/12/2018,Liverpool,Arsenal,2018/2019,Premier League,15581,Bernd Leno,112.75,497.16796875,718.78125,295.23095703125,535.5625,320.5556640625,451.0,262.859375,310.0625,415.6884765625,126.84375,483.29443359375,493.28125,305.80126953125,634.21875,152.97216796875,648.3125,153.1923828125,690.59375,41.10302734375,817.4375,395.4287109375,732.875,281.357421875,718.78125,168.38720703125,549.65625,137.55712890625,451.0,192.390625,366.4375,275.6318359375
35,14574,49,31,Crystal Palace,3455,Luka Milivojević,Right Foot,Normal,Goal,09/03/2019,Crystal Palace,Brighton & Hove Albion,2018/2019,Premier League,3240,Mathew Ryan,85.375,123.474609375,65.875,89.044921875,26.875,76.248046875,51.25,76.62890625,73.1875,94.0341796875,80.5,123.3984375,36.625,76.400390625,63.4375,42.6943359375,63.4375,42.6943359375,75.625,16.072265625,29.3125,76.2861328125,34.1875,61.7373046875,48.8125,37.5908203125,78.0625,47.7978515625,85.375,69.849609375,92.6875,84.5888671875
36,14276,2,39,Manchester United,20004,Paul Pogba,Right Foot,Normal,Goal,10/08/2018,Manchester United,Leicester City,2018/2019,Premier League,3815,Kasper Schmeichel,173.0,178.140625,135.15625,172.14306640625,183.8125,135.0595703125,221.65625,157.27587890625,254.09375,201.03271484375,189.21875,243.26904296875,200.03125,146.12548828125,259.5,87.5859375,264.90625,87.67041015625,64.875,127.794921875,59.46875,219.61669921875,102.71875,198.66748046875,221.65625,81.58837890625,297.34375,93.58349609375,313.5625,142.4931640625,32.4375,224.6005859375
37,14558,94,39,Manchester United,20004,Paul Pogba,Right Foot,Normal,Saved,02/03/2019,Manchester United,Southampton,2018/2019,Premier League,22379,Angus Gunn,163.25,327.83203125,75.75,270.21484375,113.25,189.55078125,163.25,184.08203125,238.25,279.00390625,313.25,361.42578125,138.25,183.69140625,144.5,102.5390625,144.5,108.7890625,150.75,52.63671875,25.75,169.43359375,50.75,126.07421875,113.25,108.30078125,169.5,96.6796875,213.25,122.36328125,207.0,134.765625
38,14372,26,39,Manchester United,20004,Paul Pogba,Right Foot,Normal,Saved,28/10/2018,Manchester United,Everton,2018/2019,Premier League,3468,Jordan Pickford,324.0,456.6875,202.5,353.5390625,243.0,273.171875,293.625,213.212890625,405.0,316.203125,526.5,419.3515625,263.25,232.98828125,182.25,211.47265625,182.25,211.47265625,222.75,313.35546875,232.875,262.888671875,172.125,312.564453125,141.75,210.83984375,212.625,171.447265625,243.0,151.671875,222.75,252.60546875
