,player_name,shot_outcome_name,gk_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
24,Gabriel Fernando de Jesus,Goal,Rui Pedro dos Santos Patrício,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Jamie Vardy,Goal,Thibaut Courtois,0.28125,0.40625,-0.020068152,0.109375,0.234375,0.195415616,-0.015625,-0.015625,0.005741424,-0.015625,0.03125,-0.0250482,0.078125,0.234375,0.167227164,-0.046875,0.390625,-0.103175648,0,0,0,-0.296875,-0.1875,-0.018028662,-0.25,-0.203125,-0.030212371,-0.328125,-0.328125,-0.028437205,0.125,-0.109375,0.120101802,-0.046875,-0.203125,0.088794231,-0.375,-0.1875,-0.008782055,-0.21875,-0.234375,-0.012352621,0.015625,-0.203125,-0.019326434,0.03125,-0.09375,0.039794445
26,Paul Pogba,Saved,Joe Hart,0.4375,0.53125,-0.018194981,0.25,0.421875,0.082459129,0.0625,0,-0.019673778,-0.046875,0.03125,0.020088587,0.25,0.390625,0.084058672,0.453125,0.53125,-0.050144784,0,0,0,-0.09375,0.140625,-0.031701095,-0.09375,0.140625,-0.08961495,-0.0625,0.3125,-0.150926247,-0.15625,-0.03125,-0.010829819,-0.203125,0.09375,0.006507855,0.125,0.328125,-0.134010658,-0.15625,0.0625,-0.01038751,-0.15625,0.0625,0.007270664,-0.234375,0.234375,0.058468312
27,Gylfi Þór Sigurðsson,Saved,Kepa Arrizabalaga Revuelta,-0.140625,0.40625,-0.078857146,0.140625,0.21875,0.212487236,0.0625,-0.015625,0.011777379,-0.046875,0.015625,-0.024606014,-0.171875,0.15625,0.223262951,0.390625,0.390625,-0.01358586,0,0,0,-0.078125,-0.171875,-0.046827428,-0.078125,-0.234375,-0.081790701,-0.09375,-0.359375,-0.10537231,0.21875,-0.328125,0.080669805,-0.15625,-0.078125,-0.016198751,-0.078125,-0.234375,-0.083986431,-0.140625,-0.234375,-0.085527807,-0.203125,-0.078125,0.038935371,-0.25,-0.171875,0.055760257
28,Paul Pogba,Goal,David Button,-0.453125,0.359375,-0.066768527,-0.265625,0.125,0.069968276,-0.078125,-0.015625,-0.001688904,0.078125,0.015625,0.014945771,0.203125,0.078125,0.026930949,0.015625,0.34375,-0.168697506,0,0,0,-0.015625,-0.28125,-0.029100528,-0.015625,-0.28125,-0.070815027,-0.046875,-0.46875,-0.043096807,-0.375,-0.015625,-0.042463001,-0.265625,-0.125,0.009699967,-0.15625,-0.265625,-0.056494057,0.125,-0.28125,-0.054703735,0.1875,-0.109375,0.070976019,0.234375,0.046875,-0.026892887
29,James Philip Milner,Goal,Wayne Hennessey,0.015625,0.359375,-0.069643632,-0.15625,0.171875,0.143058762,-0.0625,0.015625,-0.002079159,0.078125,0,0.004443245,0.25,0.21875,0.124574743,0.453125,0.421875,0.086944632,0,0,0,0,-0.234375,-0.030030882,0,-0.265625,-0.10807132,0.015625,-0.453125,-0.087128483,0.03125,0.34375,-0.209126562,-0.125,-0.03125,-0.05293582,-0.125,-0.234375,-0.052916586,0.140625,-0.234375,-0.079808138,0.234375,-0.125,-0.009909441,0.328125,-0.015625,-0.029274521
30,Jamie Vardy,Goal,Petr Čech,0.3125,0.40625,0.045252319,0.234375,0.1875,0.228030041,0.078125,0,-0.021402368,-0.0625,0,-0.007401719,0.25,0.1875,0.295722991,-0.28125,0.328125,0.114743508,0,0,0,0.015625,-0.25,0.012028501,0.03125,-0.296875,0.013750459,0.078125,-0.4375,-0.031114455,0.078125,-0.015625,0.114991076,0.15625,-0.078125,0.070391364,0.140625,-0.234375,0.008547987,-0.09375,-0.265625,-0.017194364,-0.203125,-0.203125,0.047082946,-0.046875,-0.109375,0.143033057
31,Luka Milivojević,Goal,Loris Karius,-0.265625,0.34375,0.026242267,-0.234375,0.203125,0.203975409,-0.078125,0,0.017013833,0.0625,0.03125,-0.006651153,-0.09375,0.1875,0.163840845,-0.25,0.375,-0.054622933,0,0,0,-0.140625,-0.28125,-0.03161104,-0.140625,-0.265625,-0.080807514,-0.234375,-0.390625,-0.06566257,-0.328125,0.015625,0.207100525,-0.265625,-0.125,0.071650729,-0.171875,-0.234375,0.008694006,-0.15625,-0.359375,-0.14060913,-0.15625,-0.40625,-0.121952817,0.078125,0.140625,-0.112581879
32,Wayne Mark Rooney,Saved,Mathew Ryan,0.25,0.359375,-0.056236517,0.140625,0.15625,-0.019015159,-0.046875,0.015625,-0.049661759,0.0625,-0.015625,0.037714045,0.171875,0.078125,0.108554713,0.296875,0.328125,0.039739419,0,0,0,0.140625,-0.125,-0.021912362,0.125,-0.125,-0.063947082,0.21875,-0.28125,-0.088498421,-0.09375,0.21875,-0.13274841,-0.09375,0.015625,-0.116560318,0.078125,-0.125,-0.092271857,0.203125,-0.125,-0.019494068,0.25,0,0.044550732,0.3125,0.125,-0.043271836
33,Mohamed Salah,Goal,Bernd Leno,-0.171875,0.21875,0.022867117,-0.171875,0.0625,0.138224334,-0.0625,-0.015625,0.005063388,0.0625,0,0.001173813,0.09375,0.109375,0.154127017,-0.0625,0.28125,-0.117428996,0,0,0,0,-0.265625,-0.033888262,0,-0.265625,-0.099676311,-0.0625,-0.375,-0.066945821,-0.375,-0.125,0.026131645,-0.265625,-0.21875,0.02072574,-0.078125,-0.265625,-0.062685184,0.09375,-0.265625,-0.080499545,0.15625,-0.1875,-0.01036251,0.1875,-0.140625,0.001717555
